Month-Year,Pivot Field Names,Pivot Field Values
01-Jan-16,Exports: Switzerland,138.4
01-Jan-16,Exports: Syrian Arab Rep,1.1
01-Jan-16,Exports: Taiwan,1269
01-Jan-16,Exports: Tanzania,2.5
01-Jan-16,Exports: Thailand,1565.8
01-Jan-16,Exports: Trinidad & Tobago,2.1
01-Jan-16,Exports: Tunisia,1.1
01-Jan-16,Exports: Turkey,67.2
01-Jan-16,Exports: USA,2253.5
01-Jan-16,Exports: Ukraine,0.5
01-Jan-16,Exports: United Arab Emirates,487.4
01-Jan-16,Exports: United Kingdom,271.6
01-Jan-16,Exports: Uruguay,2.2
01-Jan-16,Exports: Vanuatu,2
01-Jan-16,Exports: Venezuela,4.1
01-Jan-16,Exports: Vietnam,1328.2
01-Jan-16,Exports: Yemen,1
01-Jan-16,Exports: Zambia,0.2
01-Jan-16,Exports: Zimbabwe,0.5
01-Feb-16,Exports: Afghanistan,2.3
01-Feb-16,Exports: Algeria,4.4
01-Feb-16,Exports: Angola,18.5
01-Feb-16,Exports: Antigua and Barbuda,9.3
01-Feb-16,Exports: Argentina,16.7
01-Feb-16,Exports: Australia,865.1
01-Feb-16,Exports: Austria,9.2
01-Feb-16,Exports: Bahamas,46.5
01-Feb-16,Exports: Bahrain,7.2
01-Feb-16,Exports: Bangladesh,235.6
01-Feb-16,Exports: Belarus,0
01-Feb-16,Exports: Belgium,623.6
01-Feb-16,Exports: Benin,1.1
01-Feb-16,Exports: Bermuda,11.3
01-Feb-16,Exports: Brazil,85.3
01-Feb-16,Exports: Brunei,82
01-Feb-16,Exports: Bulgaria,2.1
01-Feb-16,Exports: Cambodia,89.4
01-Feb-16,Exports: Cameroon,1.8
01-Feb-16,Exports: Canada,74.8
01-Feb-16,Exports: Chile,8.1
01-Feb-16,Exports: China,3991.3
01-Feb-16,Exports: Christmas Islands,0.1
01-Feb-16,Exports: Colombia,13.8
01-Feb-16,Exports: Comoros,0.2
01-Feb-16,Exports: Costa Rica,2.7
01-Feb-16,Exports: Cote D'ivoire,1.3
01-Feb-16,Exports: Croatia,1.2
01-Feb-16,Exports: Cuba,0.1
01-Feb-16,Exports: Cyprus,20.2
01-Feb-16,"Exports: Czech, Republic",37
01-Feb-16,Exports: Denmark,15.8
01-Feb-16,Exports: Djibouti,9.8
01-Feb-16,Exports: Dominican Rep,1.7
01-Feb-16,Exports: Ecuador,3.6
01-Feb-16,Exports: Egypt,28.8
01-Feb-16,Exports: El Salvador,1
01-Feb-16,Exports: Estonia,0.9
01-Feb-16,Exports: Eswatini,0.1
01-Feb-16,Exports: Ethiopia,2.6
01-Feb-16,Exports: Fiji,22.8
01-Feb-16,Exports: Finland,7.4
01-Feb-16,Exports: France,335.7
01-Feb-16,Exports: French Polynesia,1.4
01-Feb-16,Exports: Gabon,1.4
01-Feb-16,Exports: Germany,596.7
01-Feb-16,Exports: Ghana,4.8
01-Feb-16,Exports: Greece,51.1
01-Feb-16,Exports: Guam,24.9
01-Feb-16,Exports: Guatemala,1.9
01-Feb-16,Exports: Guinea,0.4
01-Feb-16,Exports: Guyana,0.2
01-Feb-16,Exports: Honduras,0.1
01-Feb-16,Exports: Hong Kong SAR (China),3983.7
01-Feb-16,Exports: Hungary,26.1
01-Feb-16,Exports: India,1000.7
01-Feb-16,Exports: Indonesia,2587.4
01-Feb-16,Exports: Iran,7.2
01-Feb-16,Exports: Ireland,29.4
01-Feb-16,Exports: Israel,93.5
01-Feb-16,Exports: Italy,66.8
01-Feb-16,Exports: Jamaica,0
01-Feb-16,Exports: Japan,1525.3
01-Feb-16,Exports: Jordan,2.2
01-Feb-16,Exports: Kazakhstan,1.4
01-Feb-16,Exports: Kenya,7.4
01-Feb-16,Exports: Kuwait,19.9
01-Feb-16,Exports: Lao Peo Dem Rep,2.4
01-Feb-16,Exports: Latvia,0.5
01-Feb-16,Exports: Lebanon,5.3
01-Feb-16,Exports: Liberia,140.4
01-Feb-16,Exports: Libyan Arab Jamahiriya,1.5
01-Feb-16,Exports: Lithuania,0.7
01-Feb-16,Exports: Luxembourg,4.5
01-Feb-16,Exports: Macau SAR (China),11.3
01-Feb-16,Exports: Madagascar,2.2
01-Feb-16,Exports: Malaysia,3536.2
01-Feb-16,Exports: Maldives Rep of,24
01-Feb-16,Exports: Malta,64.4
01-Feb-16,Exports: Marshall Islands,142.8
01-Feb-16,Exports: Mauritius,9
01-Feb-16,Exports: Mexico,96.6
01-Feb-16,Exports: Mongolian Peo Rep,2.7
01-Feb-16,Exports: Morocco,13.2
01-Feb-16,Exports: Mozambique,4.8
01-Feb-16,Exports: Myanmar,330.1
01-Feb-16,Exports: Nepal,5.3
01-Feb-16,Exports: Netherlands Antilles,1.5
01-Feb-16,Exports: Netherlands,567.1
01-Feb-16,Exports: New Caledonia,24.6
01-Feb-16,Exports: New Zealand,146.5
01-Feb-16,Exports: Nigeria,11.3
01-Feb-16,Exports: Northern Mariana Islands,1.3
01-Feb-16,Exports: Norway,25.4
01-Feb-16,Exports: Oman,59.1
01-Feb-16,Exports: Other Countries of Africa,14.6
01-Feb-16,Exports: Other Countries of America,7.3
01-Feb-16,Exports: Other Countries of Asia,9.4
01-Feb-16,Exports: Other Countries of Europe,23
01-Feb-16,Exports: Other Countries of Oceania,7.5
01-Feb-16,Exports: Pakistan,85.2
01-Feb-16,Exports: Panama,411.9
01-Feb-16,Exports: Papua New Guinea,30.9
01-Feb-16,Exports: Paraguay,0.4
01-Feb-16,Exports: Peru,3.4
01-Feb-16,Exports: Philippines,662.5
01-Feb-16,Exports: Poland,21.6
01-Feb-16,Exports: Portugal,12.7
01-Feb-16,Exports: Puerto Rico,219.2
01-Feb-16,Exports: Qatar,13.8
01-Feb-16,Exports: Reunion,24
01-Feb-16,Exports: Romania,5.3
01-Feb-16,Exports: Russia,44.3
01-Feb-16,Exports: Saint Vincent and the Grenadines,2.9
01-Feb-16,Exports: Samoa,4.3
01-Feb-16,Exports: Saudi Arabia,69.1
01-Feb-16,Exports: Seychelles,2.5
01-Feb-16,Exports: Slovak Republic,3.2
01-Feb-16,Exports: Slovenia,1.8
01-Feb-16,Exports: Solomon Islands,1.9
01-Feb-16,Exports: South Africa,33.4
01-Feb-16,Exports: South Korea,1564.7
01-Feb-16,Exports: Spain,32.5
01-Feb-16,Exports: Sri Lanka,105.7
01-Feb-16,Exports: Sudan,0.2
01-Feb-16,Exports: Sweden,16.1
01-Feb-16,Exports: Switzerland,338.6
01-Feb-16,Exports: Syrian Arab Rep,0.1
01-Feb-16,Exports: Taiwan,1222.6
01-Feb-16,Exports: Tanzania,3.4
01-Feb-16,Exports: Thailand,1397.5
01-Feb-16,Exports: Trinidad & Tobago,0.5
01-Feb-16,Exports: Tunisia,5
01-Feb-16,Exports: Turkey,44.3
01-Feb-16,Exports: USA,2076.7
01-Feb-16,Exports: Ukraine,0.6
01-Feb-16,Exports: United Arab Emirates,512.7
01-Feb-16,Exports: United Kingdom,245.8
01-Feb-16,Exports: Uruguay,1.8
01-Feb-16,Exports: Vanuatu,0.9
01-Feb-16,Exports: Venezuela,2.9
01-Feb-16,Exports: Vietnam,1133.3
01-Feb-16,Exports: Yemen,0.9
01-Feb-16,Exports: Zambia,0.4
01-Feb-16,Exports: Zimbabwe,0.3
01-Mar-16,Exports: Afghanistan,2.7
01-Mar-16,Exports: Algeria,5.7
01-Mar-16,Exports: Angola,8.3
01-Mar-16,Exports: Antigua and Barbuda,9.7
01-Mar-16,Exports: Argentina,14.3
01-Mar-16,Exports: Australia,1218.7
01-Mar-16,Exports: Austria,8.3
01-Mar-16,Exports: Bahamas,37.5
01-Mar-16,Exports: Bahrain,10.6
01-Mar-16,Exports: Bangladesh,294.9
01-Mar-16,Exports: Belarus,0.1
01-Mar-16,Exports: Belgium,290.6
01-Mar-16,Exports: Benin,0.7
01-Mar-16,Exports: Bermuda,6.3
01-Mar-16,Exports: Brazil,99.1
01-Mar-16,Exports: Brunei,84.3
01-Mar-16,Exports: Bulgaria,2.9
01-Mar-16,Exports: Cambodia,128.7
01-Mar-16,Exports: Cameroon,1.3
01-Mar-16,Exports: Canada,114.3
01-Mar-16,Exports: Chile,11.3
01-Mar-16,Exports: China,4649.1
01-Mar-16,Exports: Christmas Islands,0
01-Mar-16,Exports: Colombia,7.6
01-Mar-16,Exports: Comoros,0
01-Mar-16,Exports: Costa Rica,2.6
01-Mar-16,Exports: Cote D'ivoire,2.8
01-Mar-16,Exports: Croatia,1.3
01-Mar-16,Exports: Cuba,0.6
01-Mar-16,Exports: Cyprus,18.8
01-Mar-16,"Exports: Czech, Republic",30.2
01-Mar-16,Exports: Denmark,18.3
01-Mar-16,Exports: Djibouti,1.6
01-Mar-16,Exports: Dominican Rep,1.8
01-Mar-16,Exports: Ecuador,4.3
01-Mar-16,Exports: Egypt,41.8
01-Mar-16,Exports: El Salvador,0.3
01-Mar-16,Exports: Estonia,0.6
01-Mar-16,Exports: Eswatini,0.1
01-Mar-16,Exports: Ethiopia,2
01-Mar-16,Exports: Fiji,20.1
01-Mar-16,Exports: Finland,18.3
01-Mar-16,Exports: France,367.9
01-Mar-16,Exports: French Polynesia,9.2
01-Mar-16,Exports: Gabon,0.9
01-Mar-16,Exports: Germany,660.5
01-Mar-16,Exports: Ghana,9.4
01-Mar-16,Exports: Greece,35.9
