Month-Year,Pivot Field Names,Pivot Field Values
01-Feb-16,Imports: Afghanistan,0.1
01-Feb-16,Imports: Angola,110.4
01-Feb-16,Imports: Argentina,9.6
01-Feb-16,Imports: Australia,581.5
01-Feb-16,Imports: Austria,110.6
01-Feb-16,Imports: Bahamas,0
01-Feb-16,Imports: Bahrain,1.6
01-Feb-16,Imports: Bangladesh,17.6
01-Feb-16,Imports: Belarus,17.8
01-Feb-16,Imports: Belgium,96.6
01-Feb-16,Imports: Brazil,139
01-Feb-16,Imports: Brunei,1.6
01-Feb-16,Imports: Bulgaria,15.9
01-Feb-16,Imports: Cambodia,159.9
01-Feb-16,Imports: Cameroon,2.6
01-Feb-16,Imports: Canada,153.3
01-Feb-16,Imports: Chile,5.7
01-Feb-16,Imports: China,3541.8
01-Feb-16,Imports: Colombia,64.1
01-Feb-16,Imports: Comoros,0.5
01-Feb-16,Imports: Costa Rica,5.1
01-Feb-16,Imports: Cote D'ivoire,2.6
01-Feb-16,Imports: Croatia,0.7
01-Feb-16,Imports: Cuba,2.1
01-Feb-16,Imports: Cyprus,1.2
01-Feb-16,"Imports: Czech, Republic",28.4
01-Feb-16,Imports: Denmark,39.5
01-Feb-16,Imports: Djibouti,0.3
01-Feb-16,Imports: Dominican Rep,3.6
01-Feb-16,Imports: Ecuador,0.8
01-Feb-16,Imports: Egypt,3.4
01-Feb-16,Imports: El Salvador,0.7
01-Feb-16,Imports: Estonia,0.8
01-Feb-16,Imports: Eswatini,0.2
01-Feb-16,Imports: Ethiopia,1.4
01-Feb-16,Imports: Fiji,0.4
01-Feb-16,Imports: Finland,29.2
01-Feb-16,Imports: France,940.1
01-Feb-16,Imports: French Polynesia,0.7
01-Feb-16,Imports: Gabon,0
01-Feb-16,Imports: Germany,929.7
01-Feb-16,Imports: Ghana,12.8
01-Feb-16,Imports: Greece,22.1
01-Feb-16,Imports: Guam,0.1
01-Feb-16,Imports: Guatemala,1.2
01-Feb-16,Imports: Hong Kong SAR (China),332.1
01-Feb-16,Imports: Hungary,157
01-Feb-16,Imports: India,687.6
01-Feb-16,Imports: Indonesia,1897.2
01-Feb-16,Imports: Iran,20.5
01-Feb-16,Imports: Ireland,88.5
01-Feb-16,Imports: Israel,62.6
01-Feb-16,Imports: Italy,342.3
01-Feb-16,Imports: Jamaica,0
01-Feb-16,Imports: Japan,2045.4
01-Feb-16,Imports: Jordan,6.4
01-Feb-16,Imports: Kazakhstan,0.1
01-Feb-16,Imports: Kenya,0.6
01-Feb-16,Imports: Kuwait,327.6
01-Feb-16,Imports: Lao Peo Dem Rep,0.2
01-Feb-16,Imports: Latvia,2.1
01-Feb-16,Imports: Lebanon,0.1
01-Feb-16,Imports: Liberia,0
01-Feb-16,Imports: Lithuania,1.6
01-Feb-16,Imports: Luxembourg,9.7
01-Feb-16,Imports: Macau SAR (China),0.3
01-Feb-16,Imports: Madagascar,19.8
01-Feb-16,Imports: Malaysia,3091.1
01-Feb-16,Imports: Maldives Rep of,0.1
01-Feb-16,Imports: Malta,25.1
01-Feb-16,Imports: Mauritius,1.1
01-Feb-16,Imports: Mexico,180.4
01-Feb-16,Imports: Morocco,10.4
01-Feb-16,Imports: Mozambique,0.2
01-Feb-16,Imports: Myanmar,12.5
01-Feb-16,Imports: Nepal,1.4
01-Feb-16,Imports: Netherlands Antilles,23.7
01-Feb-16,Imports: Netherlands,283.5
01-Feb-16,Imports: New Zealand,73.1
01-Feb-16,Imports: Nigeria,0.4
01-Feb-16,Imports: Northern Mariana Islands,0
01-Feb-16,Imports: Norway,73.7
01-Feb-16,Imports: Oman,37.4
01-Feb-16,Imports: Other Countries of Africa,99.4
01-Feb-16,Imports: Other Countries of America,31.7
01-Feb-16,Imports: Other Countries of Asia,5.9
01-Feb-16,Imports: Other Countries of Europe,6.8
01-Feb-16,Imports: Other Countries of Oceania,0.1
01-Feb-16,Imports: Pakistan,35.9
01-Feb-16,Imports: Panama,0.4
01-Feb-16,Imports: Papua New Guinea,9
01-Feb-16,Imports: Peru,1
01-Feb-16,Imports: Philippines,532.9
01-Feb-16,Imports: Poland,47
01-Feb-16,Imports: Portugal,25.4
01-Feb-16,Imports: Puerto Rico,15.3
01-Feb-16,Imports: Qatar,177
01-Feb-16,Imports: Reunion,0.1
01-Feb-16,Imports: Romania,10.5
01-Feb-16,Imports: Russia,258.5
01-Feb-16,Imports: Saudi Arabia,744.9
01-Feb-16,Imports: Seychelles,0
01-Feb-16,Imports: Slovak Republic,6.8
01-Feb-16,Imports: Slovenia,4
01-Feb-16,Imports: Solomon Islands,0
01-Feb-16,Imports: South Africa,100.4
01-Feb-16,Imports: South Korea,2333.1
01-Feb-16,Imports: Spain,77.9
01-Feb-16,Imports: Sri Lanka,8.8
01-Feb-16,Imports: Sudan,0
01-Feb-16,Imports: Sweden,128.1
01-Feb-16,Imports: Switzerland,927.3
01-Feb-16,Imports: Taiwan,2405.5
01-Feb-16,Imports: Tanzania,9
01-Feb-16,Imports: Thailand,1248.6
01-Feb-16,Imports: Tunisia,1.4
01-Feb-16,Imports: Turkey,53.6
01-Feb-16,Imports: USA,3094.9
01-Feb-16,Imports: Ukraine,1.8
01-Feb-16,Imports: United Arab Emirates,677.8
01-Feb-16,Imports: United Kingdom,654.9
01-Feb-16,Imports: Uruguay,1.3
01-Feb-16,Imports: Vanuatu,0
01-Feb-16,Imports: Venezuela,79
01-Feb-16,Imports: Vietnam,247.5
01-Feb-16,Imports: Yemen,0
01-Feb-16,Imports: Zambia,0
01-Feb-16,Imports: Zimbabwe,1.5
01-Mar-16,Imports: Afghanistan,0.3
01-Mar-16,Imports: Angola,0
01-Mar-16,Imports: Argentina,6.9
01-Mar-16,Imports: Australia,550.4
01-Mar-16,Imports: Austria,142.5
01-Mar-16,Imports: Bahamas,0.2
01-Mar-16,Imports: Bahrain,0.9
01-Mar-16,Imports: Bangladesh,21.7
01-Mar-16,Imports: Belarus,0.1
01-Mar-16,Imports: Belgium,139.6
01-Mar-16,Imports: Brazil,134.5
01-Mar-16,Imports: Brunei,5.6
01-Mar-16,Imports: Bulgaria,5
01-Mar-16,Imports: Cambodia,237.8
01-Mar-16,Imports: Cameroon,3.8
01-Mar-16,Imports: Canada,159.7
01-Mar-16,Imports: Chile,5.6
01-Mar-16,Imports: China,4702.2
01-Mar-16,Imports: Colombia,16.6
01-Mar-16,Imports: Comoros,0.3
01-Mar-16,Imports: Costa Rica,4.6
01-Mar-16,Imports: Cote D'ivoire,5.1
01-Mar-16,Imports: Croatia,1
01-Mar-16,Imports: Cuba,1
01-Mar-16,Imports: Cyprus,3.6
01-Mar-16,"Imports: Czech, Republic",38.4
01-Mar-16,Imports: Denmark,54.6
01-Mar-16,Imports: Djibouti,0
01-Mar-16,Imports: Dominican Rep,2.8
01-Mar-16,Imports: Ecuador,0.6
01-Mar-16,Imports: Egypt,7.7
01-Mar-16,Imports: El Salvador,0.9
01-Mar-16,Imports: Estonia,3
01-Mar-16,Imports: Eswatini,0.1
01-Mar-16,Imports: Ethiopia,0.1
01-Mar-16,Imports: Fiji,0.3
01-Mar-16,Imports: Finland,39.5
01-Mar-16,Imports: France,1137.5
01-Mar-16,Imports: French Polynesia,0.7
01-Mar-16,Imports: Gabon,0
01-Mar-16,Imports: Germany,1105.3
01-Mar-16,Imports: Ghana,44.4
01-Mar-16,Imports: Greece,20.9
01-Mar-16,Imports: Guam,0
01-Mar-16,Imports: Guatemala,1.4
01-Mar-16,Imports: Hong Kong SAR (China),392.8
01-Mar-16,Imports: Hungary,128.5
01-Mar-16,Imports: India,558.2
01-Mar-16,Imports: Indonesia,1708.3
01-Mar-16,Imports: Iran,37.7
01-Mar-16,Imports: Ireland,94
01-Mar-16,Imports: Israel,74.1
01-Mar-16,Imports: Italy,493.5
01-Mar-16,Imports: Jamaica,0.1
01-Mar-16,Imports: Japan,2462.3
01-Mar-16,Imports: Jordan,1
01-Mar-16,Imports: Kazakhstan,0.1
01-Mar-16,Imports: Kenya,0.5
01-Mar-16,Imports: Kuwait,93.2
01-Mar-16,Imports: Lao Peo Dem Rep,1.2
01-Mar-16,Imports: Latvia,4.6
01-Mar-16,Imports: Lebanon,0.2
01-Mar-16,Imports: Liberia,0.1
01-Mar-16,Imports: Lithuania,1.5
01-Mar-16,Imports: Luxembourg,12.7
01-Mar-16,Imports: Macau SAR (China),0.4
01-Mar-16,Imports: Madagascar,22.9
01-Mar-16,Imports: Malaysia,3442.7
01-Mar-16,Imports: Maldives Rep of,0.1
01-Mar-16,Imports: Malta,32.2
01-Mar-16,Imports: Mauritius,1.1
01-Mar-16,Imports: Mexico,229.9
01-Mar-16,Imports: Morocco,12.8
01-Mar-16,Imports: Mozambique,1.1
01-Mar-16,Imports: Myanmar,14.9
01-Mar-16,Imports: Nepal,1.1
01-Mar-16,Imports: Netherlands Antilles,13.8
01-Mar-16,Imports: Netherlands,543
01-Mar-16,Imports: New Zealand,61.7
01-Mar-16,Imports: Nigeria,0.2
01-Mar-16,Imports: Northern Mariana Islands,0
01-Mar-16,Imports: Norway,164.1
01-Mar-16,Imports: Oman,60.4
01-Mar-16,Imports: Other Countries of Africa,202.6
01-Mar-16,Imports: Other Countries of America,1.2
01-Mar-16,Imports: Other Countries of Asia,1.5
01-Mar-16,Imports: Other Countries of Europe,6.8
01-Mar-16,Imports: Other Countries of Oceania,0.2
01-Mar-16,Imports: Pakistan,6.6
01-Mar-16,Imports: Panama,0.4
01-Mar-16,Imports: Papua New Guinea,28.8
01-Mar-16,Imports: Peru,4.3
01-Mar-16,Imports: Philippines,559.1
01-Mar-16,Imports: Poland,87.8
01-Mar-16,Imports: Portugal,33.7
01-Mar-16,Imports: Puerto Rico,16.7
01-Mar-16,Imports: Qatar,210.3
01-Mar-16,Imports: Reunion,0.4
01-Mar-16,Imports: Romania,10.6
01-Mar-16,Imports: Russia,290.3
01-Mar-16,Imports: Saudi Arabia,992
01-Mar-16,Imports: Seychelles,0.2
01-Mar-16,Imports: Slovak Republic,6.8
01-Mar-16,Imports: Slovenia,4.6
01-Mar-16,Imports: Solomon Islands,0
01-Mar-16,Imports: South Africa,58
01-Mar-16,Imports: South Korea,1901.3
01-Mar-16,Imports: Spain,102.2
01-Mar-16,Imports: Sri Lanka,8.5
01-Mar-16,Imports: Sudan,0
01-Mar-16,Imports: Sweden,118.9
01-Mar-16,Imports: Switzerland,702.7
01-Mar-16,Imports: Taiwan,2656.9
01-Mar-16,Imports: Tanzania,11.2
01-Mar-16,Imports: Thailand,767.7
01-Mar-16,Imports: Tunisia,1.4
01-Mar-16,Imports: Turkey,66.3
01-Mar-16,Imports: USA,3759.6
01-Mar-16,Imports: Ukraine,1.3
01-Mar-16,Imports: United Arab Emirates,498.3
01-Mar-16,Imports: United Kingdom,719.9
01-Mar-16,Imports: Uruguay,1.3
01-Mar-16,Imports: Vanuatu,0
01-Mar-16,Imports: Venezuela,74.4
01-Mar-16,Imports: Vietnam,374.7
01-Mar-16,Imports: Yemen,0
01-Mar-16,Imports: Zambia,12.8
01-Mar-16,Imports: Zimbabwe,4
01-Apr-16,Imports: Afghanistan,0
01-Apr-16,Imports: Angola,0
01-Apr-16,Imports: Argentina,5.4
01-Apr-16,Imports: Australia,442.6
01-Apr-16,Imports: Austria,116.3
01-Apr-16,Imports: Bahamas,0
01-Apr-16,Imports: Bahrain,25.2
01-Apr-16,Imports: Bangladesh,26.7
01-Apr-16,Imports: Belarus,0.1
01-Apr-16,Imports: Belgium,374
01-Apr-16,Imports: Brazil,113.4
01-Apr-16,Imports: Brunei,32.4
01-Apr-16,Imports: Bulgaria,33.7
01-Apr-16,Imports: Cambodia,173.7
01-Apr-16,Imports: Cameroon,4.4
01-Apr-16,Imports: Canada,132.4
